ID,Song,Movie,Scheduled Date
1,En Iniya Pon Nilave,Moodu Pani,2026-08-29
2,Ilaya Nila Pozhigirathe,Payanangal Mudivathillai,
3,Thendral Vandhu Ennai Thodum,Thendrale Ennai Thodu,2026-09-23
4,Mandram Vandha,Mouna Ragam,2026-09-04
5,Raja Rajadhi Rajan Indha,Agni Natchathiram,2026-08-30
6,Sundari Kannal Oru Sethi,Thalapathi,
7,Thenpandi Cheemayile,Nayakan,2026-08-28
8,Kaatril Endhan Geetham,Johnny,
9,Kanne Kalaimane,Moondram Pirai,2026-08-27
10,Kanmani Anbodu Kadhalan,Gunaa,
11,Ennai Thalatta Varuvala,Kadhalukku Mariyadhai,2026-09-05
12,Senthazham Poovil,Mullum Malarum,
13,Poove Sempoove,Solla Thudikuthu Manasu,
14,Pani Vizhum Malar Vanam,Ninaivellam Nithya,
15,Kuyil Paattu,En Rasavin Manasile,
16,Thendral Vandhu Theendum Pothu,Avatharam,
17,Pottu Vaitha Oru Vatta Nila,Idhayam,2026-09-21
18,Nila Adhu Vaanathumele,Nayakan,
20,Janani Janani,Thaai Mookaambikai,
21,Andhi Mazhai Pozhigirathu,Raja Paarvai,
23,Enna Satham Indha Neram,Punnagai Mannan,
24,Valaiosai Veesum,Sathya,
26,Unna Nenachen,Apoorva Sagodharargal,
27,Inji Idupazhagi,Thevar Magan,
28,Isaiyil Thodanguthamma,Hey Ram,
29,Nee Paartha Paarvai,Hey Ram,
30,Sundari Neeyum,Michael Madana Kama Rajan,
31,Rum Bum Bum,Michael Madana Kama Rajan,
32,Idhu Oru Nila Kaalam,Tik Tik Tik,2026-09-09
33,Naadha Vinodham,Salangai Oli,
34,Thakita Thadimi,Salangai Oli,
36,Nilaave Vaa,Mouna Ragam,
37,Chinna Chinna Vanna Kuyil,Mouna Ragam,
38,Nee Oru Kadhal Sangeetham,Nayakan,2026-09-16
40,Thoongatha Vizhigal Rendu,Agni Natchathiram,2026-09-07
42,Idhayam Oru Kovil,Idaya Kovil,
43,Naan Paadum Mouna Ragam,Idaya Kovil,2026-09-10
44,Poo Maalaye,Pagal Nilavu,
45,Anjali Anjali,Anjali,2026-09-08
46,Vegam Vegam,Anjali,
47,Rakkamma Kaiya Thattu,Thalapathi,2026-09-11
51,Idhu Oru Pon Maalai Pozhudhu,Nizhalgal,2026-09-06
52,Madai Thirandhu,Nizhalgal,2026-09-13
53,Poongathave Thaalthiravai,Nizhalgal,
54,Povoma Oorgolam,Chinna Thambi,
55,Thooliyile Aadavantha,Chinna Thambi,2026-09-02
56,Araicha Sandanam,Chinna Thambi,
57,Paadariyen Padippariyen,Sindhu Bhairavi,
58,Poomaalai Vaangi Vandhan,Sindhu Bhairavi,
59,Kalaivaniye,Sindhu Bhairavi,
60,Punjai Undu Nanjai Undu,Unnal Mudiyum Thambi,
61,Enna Samayal,Unnal Mudiyum Thambi,2026-09-27
62,Maarugo Maarugo,Vettri Vizhaa,2026-09-17
64,Aadiyile Sedhi Solli,Aavarampoo,
65,Saamikite,Aavarampoo,
66,Maanguyile Poonguyile,Karagattakaran,
67,Meenamma Meenamma,Rajadhi Raja,
68,Poongatru Thirumbuma,Mudhal Mariyathai,
69,Vetti Veru Vasam,Mudhal Mariyathai,
70,Andha Nilava Thaan,Mudhal Mariyathai,
71,Rasave Unna Nambi,Mudhal Mariyathai,
72,Senbagame,Enga Ooru Pattukaran,
73,Aasaiya Kathula,Johnny,
74,Rojavai Thalattum Thendral,Ninaivellam Nithya,
76,Vaa Vaa Manjal Malare,Rajadhi Raja,
77,Putham Pudhu Kaalai,Alaigal Oivathillai,
79,Mookuthi Poo Mele,Mouna Geethangal,
80,Kalyana Thenila,Mounam Sammadham,
81,Ninaivo Oru Paravai,Sigappu Rojakkal,2026-09-03
82,Naan Thedum Sevvanthi,Dharma Pathini,2026-09-18
83,Edho Dhaagam,Sindhu Bhairavi,
84,Naan Oru Sindhu,Sindhu Bhairavi,
85,Oru Kili Uruguthu,Aanandha Kummi,2026-09-28
86,Poonthalir Aada,Panneer Pushpangal,
87,Keerthi Kettil,Thillu Mullu,
88,Ilamai Idho Idho,Sakalakala Vallavan,2026-08-31
89,Nila Kayum Neram,Chembaruthi,
92,Kavithai Kelungal,Punnagai Mannan,
93,Edho Moham,Punnagai Mannan,
94,Oru Jeevan Thaan,Naan Adimai Illai,
96,Appan Endrum,Gunaa,
97,Innum Ennai,Singaravelan,2026-09-01
98,Pudhu Cheri Katcheri,Singaravelan,
99,Azhagu Malarada,Vaidehi Kathirunthal,
100,Raasathi Unnai,Vaidehi Kathirunthal,
101,Pachamala Poovu,Kizhakku Vaasal (Original Motion Picture Soundtrack),
102,"Valli Valli Ena (From ""Deiva Vakku"")",Evergreen Songs of Karthik Vol-1,
103,"Adukku Malli Yeduthu (From ""Aavaram Poo"")",SPB Janaki Romantic Songs,
105,Rasathi Unna,Vaidehi Kaathirundhaal (Original Motion Picture Soundtrack),
106,Idhazhil Kadhai Ezhudhum,Unnal Mudiyum Thambi (Original Motion Picture Soundtrack),
108,O Papa Lali,Geetanjali,
109,Kaaviyam Paadava,Idhayathai Thirudadhey (Original Motion Picture Soundtrack),2026-09-29
111,"Kalyana Virundhu (From ""Dorothy"")","Kalyana Virundhu (From ""Dorothy"")",
112,"Kodai Kaala Kaatre - From ""Paneer Pushpangal""",Paneer Pushpangal (Original Motion Picture Soundtrack),
114,O Butterfly,Meera (Original Motion Picture Soundtrack),2026-09-24
115,Muthumani Maalai,Chinna Gounder (Original Motion Picture Soundtrack),2026-09-15
116,Nethu Oruthara Oruthara,Puthu Paatu (Original Motion Picture Soundtrack),2026-09-20
117,"Muthumani (From ""Dorothy"")","Muthumani (From ""Dorothy"")",2026-09-25
118,Ada Veetukku,Kizhakku Vaasal (Original Motion Picture Soundtrack),
119,Aagaya Vennilavae,Arangetra Velai (Original Motion Picture Soundtrack),
120,Mannil Indha,Keladi Kanmani (Original Motion Picture Soundtrack),
121,Amma Endru,Mannan (Original Motion Picture Soundtrack),
122,Kudagu Malai,Karakattakkaran (Original Motion Picture Soundtrack),
123,Annaaththe Aaduraar,Aboorva Sagodharargal (Original Motion Picture Soundtrack),
124,Vaazhavaikum Kaathalukku,Aboorva Sagodharargal (Original Motion Picture Soundtrack),2026-09-19
125,En Jodi Manja Kuruvi,Vikram (Original Motion Picture Soundtrack),
126,Sorgame Endralum,Ooru Vittu Ooru Vandhu (Original Motion Picture Soundtrack),
127,Yamune Aatrile,Thalapathi,
128,Raja Raja Chozhan,Rettai Vaal Kuruvi (Original Motion Picture Soundtrack),
129,Rajathi Raja,Mannan (Original Motion Picture Soundtrack),
130,Megam Kottatum,Enakkul Oruvan (Original Motion Picture Soundtrack),
131,Sundari Neeyum,Michel Madana Kamarajan (Original Motion Picture Soundtrack),
133,Kathal Oviyam,Alaigal Oyvatillai,2026-09-14
134,Dhevadhai Pol Oru,Gopura Vaasalile (Original Motion Picture Soundtrack),
135,Kadhal Kavithaigal,Gopura Vaasalile (Original Motion Picture Soundtrack),
136,Ooruvittu Ooruvandhu,Karakattakkaran (Original Motion Picture Soundtrack),
137,Kaathalin Deepam Ondru - Male,Thambikku Entha Ooru (Original Motion Picture Soundtrack),
138,Kuzhaloodhum Kannanukku,Mella Thirandhadhu Kadhavu (Original Motion Picture Soundtrack),
139,Yaar Veettil Roja,Idhaya Kovil (Original Motion Picture Soundtrack),
140,Putham Pudhu,Thalapathi,
141,Putham Puthu Kaalai,Alaigal Oyvatillai,
142,Poongaatru,Moondram Pirai (Original Motion Picture Soundtrack),
145,Roja Poo Adivanthathu,Agni Natchathiram (Original Motion Picture Soundtrack),
146,Ninnukori Varanam,Agni Natchathiram (Original Motion Picture Soundtrack),
148,O Priya Priya,Idhayathai Thirudadhey (Original Motion Picture Soundtrack),
149,Kattu Kuyilu,Thalapathi,
150,Vegam Vegam,Anjali (Original Motion Picture Soundtrack),
151,Vaanam Namakku,Anjali (Original Motion Picture Soundtrack),
152,Unna Vida,Virumandi,
153,Paartha Vizhi,Guna (Original Motion Picture Soundtrack),
154,Sundari Kannaal Oru Sethi,Sundari Kannaal Oru Sethi,
155,Oru Poonga Vanam,Agni Natchathiram (Original Motion Picture Soundtrack),
156,"Aalappol Velappol (From ""Ejjaman"" )",Ejjaman (Original Motion Picture Soundtrack),
157,Sangathil Padatha,Auto Raaja,2026-09-12
158,Nila Kayum,Chembaruthi (Original Motion Picture Soundtrack),
159,Maniyae Manikuyilae,Nadodi Thendral (Original Motion Picture Soundtrack),
160,Yaarum Vilaiyaadum Thottam,Nadodi Thendral (Original Motion Picture Soundtrack),
161,Oru Kanam Oru Yugamaga,Nadodi Thendral (Original Motion Picture Soundtrack),
162,Aalolam Paadi,Aavaram Poo (Original Motion Picture Soundtrack),2026-09-22
163,Inji Idupazhaga (Duet),Devar Magan (Original Motion Picture Soundtrack),
164,Potri Paadadi Penne,Devar Magan (Original Motion Picture Soundtrack),
165,Singalathu Chinnakuyile,Punnagai Mannan (Original Motion Picture Soundtrack),
166,Ila Nenje Vaa - Original Motion Picture Soundtrack,Vanna Vanna Pookkal (Original Motion Picture Soundtrack),
167,Paadu Nilavae,Udhaya Geetham (Original Motion Picture Soundtrack),
168,Malaiyoram Veesum Kaatru - Male,Paadu Nilave (Original Motion Picture Soundtrack),
169,Thathom Thalangu,Vettri Vizhaa (Original Motion Picture Soundtrack),
170,Aattama Therottama,Captain Prabhakaran (Original Motion Picture Soundtrack),
171,Nenjukkule Innarendru,Ponnumani (Original Motion Picture Soundtrack),
172,Nalam Vaazha,Marupadiyum (Original Motion Picture Soundtrack),
173,Aasai Athigam,Marupadiyum (Original Motion Picture Soundtrack),
174,Sandhana Kaatre,Thanikkattu Raja (Original Motion Picture Soundtrack),
175,Vellai Pura Ondru - Duet,Pudhu Kavithai (Original Motion Picture Soundtrack),
176,Poongatru Un Per Solla,Vettri Vizhaa (Original Motion Picture Soundtrack),
177,Arithaaratha Poosikolla Aasai,Avatharam (Original Motion Picture Soundtrack),2026-09-26
178,Un Paarvayil,Amman Kovil Kizhakale (Original Motion Picture Soundtrack),
179,Ellorum Sollu Pattu,Marupadiyum (Original Motion Picture Soundtrack),
180,Kombula Poova,Virumandi,
181,Raathiriyil Poothirukum,Thangamagan (Original Motion Picture Soundtrack),
182,Paadariyen,Sindhu Bhairavi (Original Motion Picture Soundtrack),
183,Aasaiye Kaathule,Jhonny - Azhage Unnai Aarathikkiren - Tharayil Vaazhum,
184,Maalayil Yaaro,Chatriyan (Original Motion Picture Soundtrack),
185,Kaala Kaalamaaga Vaazhum,Punnagai Mannan (Original Motion Picture Soundtrack),
186,Madura Marikkozhunthu,Enga Ooru Pattukaran (Original Motion Picture Soundtrack),
187,Engiruntho,Bramma (Original Motion Picture Soundtrack),
188,Vaa Vaa Anbe,Eeramana Rojave (Original Motion Picture Soundtrack),
189,Thenmadurai Vaigai Nadhi,Dharmathin Thalaivan (Original Motion Picture Soundtrack),
190,Paakku Vethala,My Dear Marthandan (Original Motion Picture Soundtrack),
191,Velli Nilave,Nandavana Theru,
192,Chinna Raasaavae,Walter Vetrivel (Original Motion Picture Soundtrack),
193,Vikram Vikram,Vikram (Original Motion Picture Soundtrack),
194,Vizhiyile Mani,Nooravathu Naal (Original Motion Picture Soundtrack),
195,"Elangathu - From ""Pithamagan""",Pithamagan (Original Motion Picture Soundtrack),
196,Panivizhum Iravu,Mouna Ragam (Original Motion Picture Soundtrack),
197,Ullukulla Chakaravarthy,Panakkaran (Original Motion Picture Soundtrack),
198,Naan Erikarai(Ilayaraja),Chinna Thayee,
199,Vaanile Thenila,Kaakki Sattai (Original Motion Picture Soundtrack),
200,Edho Mogam,Kozhi Koovuthu (Original Motion Picture Soundtrack),
201,Poove Illaya Poove,Kozhi Koovuthu (Original Motion Picture Soundtrack),
202,"Metti Oli Kaatrodu - From ""Metti""",Metti (Original Motion Picture Soundtrack),
203,Seevi Sinukkeduthu,Vettri Vizhaa (Original Motion Picture Soundtrack),
204,Penn Maaney Sangeetham,Naan Sigappu Manithan (Original Motion Picture Soundtrack),
205,Kaattumalli,Viduthalai (Original Motion Picture Soundtrack),
206,"Ilaya Nila (From ""Payanangal Mudivathillai"")",Guitar Songs of Ilaiyaraaja,
207,"Perai sollava | Guru | Ilayaraja | SPB, S Janaki",Guru,
208,மணியோசை கேட்டு எழுந்து.....| Payanangal Mudivathillai | Mohan | Goundamani | Senthil | Raj 4K Songs,Payanangal Mudivathillai,
209,Vidiya Vidiya Nadanam,Idhayathai Thirudadhey (Original Motion Picture Soundtrack),
210,Oru Kili,Aanandha Kummi (Original Motion Picture Soundtrack),
211,Michel Madana Kamarajan - Kadha Kelu Kadha Kelu Lyric | Kamal Haasan | Ilaiyaraaja,MMKR,
212,Unnai Naan,Guna,
213,Poomalai Song | Thanga Magan Movie | Ilaiyaraaja | Rajinikanth | SPB | S Janaki | Vaali | Tamil Song,Thanga Magan,
214,Aaradi Chuvaru than | ஆறடி சுவருதான் ஆசையை,Ithu Namma bhoomi,
215,SIRIYA PARAVAI SIRAGAI VIRIKA,Andha Oru Nimidam,
216,Velai Ilathavan Thaan | Rajinikanth | Velaikaran (1987) | Tamil Classic Song,Velaikaran,
217,Vaa Vaa Vaa Kannaa Vaa,Velaikaran,
218,Hey Unnai thaaney,Kaadhal Parisu,
219,Raja Kaiya Vecha - Apoorva Sagodharargal (1989) | High Quality Clear Audio |,Aboorva Sagotharargal,
220,Aagaya Gangai,Dharma Yudham,
221,"Thaazham Poove Vaasam Song Video - Kai Kodukkum Kai | Rajinikanth, Revathi | SPB | Ilaiyaraaja",Kai Kodukum Kai,
222,Pesa Koodaathu,Adutha Vaarisu (Original Motion Picture Soundtrack),
223,Poththi Vaccha Malliga Mottu High Quality Audio Song | Ilayaraja,Man Vasanai,
224,"அடி படகோட்டும் பட்டம்மா பாடல் | Padakottum Pattammah | K.S.Chithra, Malaysia Vasudevan | Chinnavar .",Chinnavar,
225,kottu kali kottu nayanam mp3 bass and treble boosted used headphones 🎧.,Chinnavar,
226,Yelela Kuyile Elamana Veyile,Paandi Nattu Thangam (Original Motion Picture Soundtrack),
